NO,ctg,syl,Barisal,ben,eng
440,ফোয়াইলেই,ফুয়াইলে ,পোয়ালে,পোহালে,After dawn
441,লাইব্যু,লাগবো ,লাগবে ,লাগবে,Will need
442,বুদ্ধি,আখল,বুদ্ধি,বুদ্ধি,Wisdom
443,ক্লান্ত,হেরান,ক্লান্ত,ক্লান্ত,Tired
444,গুষ্টি,গোষ্ঠী ,গুষ্টি ,গোষ্ঠী,Group
445,কুবুদ্ধি,কুমতলব ,কুবুদ্ধি,কুবুদ্ধি,Evil mind
446,ফারো,ফারো ,ফারো ,পারো,Can
447,সুখী,সুখী,সুখী,সুখী,Happy
448,গোঅর,গুফর ,গোবর,গোবর,Dung
449,নান,মত ,মতো,মত,Like
450,হারা,তাড়াতাড়ি,তাড়াহুড়া ,তাড়াতাড়ি,Quickly
451,ফারিবেন,পারবায়,ফারিবেন,পারবেন,Will you be able
452,গরিবেন,করবায়,হরবেন,করবেন,Will do
453,জানিত,জানতাম ,জানতাম ,জানতে,To know
454,বানাইতু,বানানীর ,যোগার,তৈরির,Making
455,দিবেল,দিবার ,দেওয়ার,দেবার,To give
456,লিহে,লেকিয়া  ,লেইক্যা,লিখে,By writing
457,চলিলো,গেলো,গেলো,চলল,Went
458,লেহা,লেখা ,লেহা,লেখা,Writing
459,পানিত,পানিতে,পানিতে,পানিতে,In water
460,উদ্দি,উপরে,উফরে,উপরে,On top
461,মিডে,মিটা,মিডা,মিষ্টি,Sweet
462,ফারওই,ফার  অইয়া ,পারহইয়্যা,পেরিয়ে,Beyond
463,বাতাস,বাতাস,বাসাত,বাতাস,Air
464,ফার,ফার ,ফার ,পার,Cross
465,বাতাসর,বাতাসের,বাসাতের,বাতাসের,Of the air
466,রূপত,রুফে ,রূপে,রূপে,As a form
467,জানোয়াররে,জানোয়ারকে,জানোয়াররে,জানোয়ারকে,Animal
468,রূপর,রুফের ,রূপের,রূপের,Beauty
469,আনন্দিত,কুশি ,আনন্দিত,আনন্দিত,Happy
470,ফারে,ফারে,পারে,পারে,Can
471,ব্যাফার,ফারে ,ব্যাফার,ব্যাপার,Matter
472,গ্রুফুর,বিয়াপার ,গ্রুপের,গ্রুপের,Group
473,মাইধ্যমে,গুরুপর ,মধ্যে ,মাধ্যমে,Through
474,গিল,গেছিল,গ্যালে,গেল,Went
475,বাজারত,বাজারে,বাজারে,বাজারে,In the market
476,পারিলে,মাইদ্দমে ,পাল্লে,পারলে,If you can
477,মারাইবের,মরবার,মারার,মারার,To hit
478,আইস্সো,আইছো,আইছো,এসেছ,Came
479,আইচ্ছা,আইচ্ছা ,আইচ্ছা ,আচ্ছা,Okay
480,পদ্দা,ফারলে ,পর্দা,পর্দা,Curtain
481,কানুন,ফর্দা ,কানুন ,কানুন,Law
482,আইচ্চুস,আইচছ,আইছো,এসেছিস,Came
483,টান্ডা,ঠাণ্ডা,ঠাণ্ডা,ঠাণ্ডা,Cold
484,বহুতক্ষণ,বাক্কা সময় ,অনেকক্ষুন,অনেকক্ষণ,Long time
485,গেলাম,গেলাম,যাইলাম,গেলাম,Went
486,রসাল্লো,রসাইল ,রসালো,রসালো,Juicy
487,ওই,অই ,হই,হই,Become
488,সমস্যা,বেঙ্গা,সমেস্যা,সমস্যা,Problem
489,সমস্যাত,বেঙ্গায়,সমেস্যায়,সমস্যায়,In trouble
490,পুন্দুত,ফুটকিত ,হোগা,পাছায়,Hip
491,যা,জা ,যা,যা,That
492,হাছাড়া,ময়লা,ময়লা,ময়লা,Dirty
493,চাকর,কামলা,চাকর,চাকর,Servant
494,ফেরী,ফেরী,ফেরী,ফেরী,Ferry
495,চাকররে,কামলারে,চাকরকে,চাকরকে,To the servant
496,থামে,থামে,থামে,থামে,Stops
497,গ্যিলে,গেলে ,যাইলে,গেলে,Went
498,বন্নাই,গিবত,বদনাম,বদনাম,Bad reputation
499,ফোঁয়াইজ্জা,বন্ধু,বন্ধু,বন্ধু,Friend
500,যলই,লুয়া,পেরাক,পেরাক,Nail
501,ড়াডঅ,গারী ,পুরু,পুরু,Thick
502,মরদফুয়া,বেটা,ব্যাডা,পুরুষ,Male
503,বইজ্জা,বড়া,পূর্ণ,পূর্ণ,Complete
504,বইজ্জা,বড়া,পরিপূর্ণ,পরিপূর্ণ,Full
505,ফো৴শ,ফুষ,পৌষ,পৌষ,Poush (month)
506,ওয়াদা,কীরা ,প্রতিজ্ঞা,প্রতিজ্ঞা,Promise
507,বদলা,বদলা লওয়া ,প্রতিশোধ,প্রতিশোধ,Revenge
508,দু৴ইজ্জা,দুপুর,দুহার,দুপুর,Noon
509,বিরবিজ্জা,ফিছলা ,পিছলা,পিচ্ছিল,Slippery
510,বিরবিজ্জা,ফিছলা ,পিছলা,পিছলা,Slipped
511,তিরাশ,তিসনা ,তৃহা,পিপাসা,Thirst
512,ফাইজ্জুম,পারমু,পারমু,পারবো,Will be able
513,ফঅইর,ফইর ,পালক,পালক,Feather
514,ধাইযন,ভাগা ,পলানো,পালানো,Runaway
515,ধাইয়্যি,ভাগছে ,পলাইছে,পালিয়েছে,Ran away
516,লতিক,ফরজন্ত ,পর্যন্ত,পর্যন্ত,Until
517,ফা৴না,ফাখয়া ,পাহা,পাঁকা,Ripe
518,তেইল্লাসুরা,তেল ছোঁড়া ,তেলাচোরা,তেলাপোকা,Cockroach
519,হালত,পরিস্থিতি,পরিস্থিতি,পরিস্থিতি,Situation
520,ফাঁস,পাঁচ,পাঁচ,পাঁচ,Five
521,ফাঁচ্চো,পাঁচটা,পাঁচডা,পাঁচটা,Five o'clock
522,ফইক,পাখি,পাখি,পাখি,Bird
523,ফঅল,ফগল ,পাগল,পাগল,Crazy
524,ফানি,পানি,পানি,পানি,Water
525,টাট্টিহানা,লেফন্টি,পায়খানা,পায়খানা,Toilet
526,ব~টা,পতাকা,পতাকা,পতাকা,Flag
527,নিয়শ,দম ,নিঃশ্বাস,নিঃশ্বাস,Breath
528,ফরুয়ো,পরশু,ফরুয়ো,পরশু,Day after tomorrow
529,নামাত,লামাত ,নিচে,নিচে,Below
530,নাস,নাছ্তা,নাচ,নাচ,Dance
531,বন্নাই,গীবত,গিবাদ,নিন্দা,Slander
532,লাশারা,বেহায়া,নির্লজ্জ,নির্লজ্জ,Shameless
533,সল্লাদার,উপায় দাতা,পরামর্শ দাতা,পরামর্শ দাতা,Advisor
534,সল্লা,উপায়,পরামর্শ,পরামর্শ,Advice
535,নোয়া,নয়া,নুতান,নতুন,New
536,ন,নয়,নয়,নয়,No
537,লঅ,নেও,নেও,নাও,Take
538,যারগো,খবিছ,দুষ্ট,দুষ্ট,Naughty
539,দোন্দশা,শণদয় ,দ্বিধা,দ্বিধা,Doubt
540,উদার,খর্যও ,উদ্ধার ,ধার,Borrow
541,উয়াইশ্যা,ভুকা,ক্ষুধার্ত,ক্ষুধার্ত,Hungry
542,নাইজ্জল,নাইকল,নাহইল,নারিকেল,Coconut
543,সলই,দেশলাই/মেছ ,গেশলাইট,দিয়াশলাই,Matchstick
544,দুই,দুই,দুই,দুই,Two
545,দুয়ো,দুইটা,দুইডা,দুইটা,Two o'clock
546,দুয়ো,দুটো,দুইডা,দুটো,Both
547,থিয়্যন,উবানি,দাড়াইন্যা,দাঁড়ানো,Stand
548,দিয়্যুম,দিমু ,দিমু,দিবো,Will give
549,নইদ্যুম,দিমু  না,দিমুনা,দিবোনা,Will not give
550,দোন্দশা,শণদয় ,দ্বিধা,দ্বিধা,Doubt
551,দশ্যো,দশটা,দশডা,দশটা,Ten o'clock
552,থিয়্যা,উবা,দাড়া,দাঁড়া,Wait
553,থ্যিও,উবাও,দাড়ান,দাঁড়াও,Stand still
554,তাইক্কুম,থাকমু ,থাকমু,থাকবো,Will stay
555,তুন,থাকি,থাইক্যা,থেকে,From
556,ফুইশ্যন,ফালখা,দত্তক,দত্তক,Adopt
557,ত্যাঁ,তাইন,সে,তিনি,He
558,তুয়ান,তুফান,ঢেউ,তুফান,Storm
559,টঁঅশা,ফাইজলামি ,ফাইজলামি ,তামাশা,Joke
560,বা৴দে,এর্বাদে,হইয়ারপর,তারপর,Then
561,তিন,তিন,তিন,তিন,Three
562,তিন্নো,তিনটা,তিনডা,তিনটা,Three o'clock
563,হাট্টা,চুকা,চুক্কা,টক,Sour
564,তাইল্লাফোরা,টাখ,টাক,টাক,Bald
565,মেসা,টেবিল,টেবিল,টেবিল,Table
566,বযা,এনডা,আন্ডা,ডিম,Egg
567,ডুফ,ডুফ,ডুব,ডুব,Dive
568,সানফ৴র,জুস্না,জ্যোৎস্না,জ্যোৎস্না,Moonlight
569,ফযাত,মাইর,ঝগড়া,ঝগড়া,Quarrel
570,ফযাতি,দরবারি ,ঝগরাইট্টা,ঝগড়াটে,Quarrelsome
571,তুয়ান,তুফান,বইন্না,ঝড়,Storm
572,সানফ৴র,জুস্না,জোছনা,জোছনা,Moonlight
573,মসল্লা,জায়নামাজ ,জায়নামাজ,জায়নামাজ,Prayer mat
574,জিলফা,জিফ্রা,জিবরা,জিব্বা,Tongue
575,জেট়,মুরইব্বি,জৈষ্ট,জৈষ্ঠ্য,Jyestha (month)
576,স়,ছয়,ছয়,ছয়,Six
577,সঅল,বখরি,ছাগল,ছাগল,Goat
578,ফানি,পানি ,পানি,জল,Water
579,সাইরগো,চারটা,চাইরডা,চারটা,Four o'clock
580,সিয়া,উন্দুর*,চিহা,চিকা,Gecko
581,সইত,ছৈত,চৈত্তির,চৈত্র,Chaitra (month)
582,অযাবিন,উছন্টও,চঞ্চল,চঞ্চল,Restless
583,সিটা৴ঙ,চট্টগ্রাম,চট্টগ্রাম,চট্টগ্রাম,Chattogram
584,সান,ছান,চান,চাঁদ,Moon
585,লউফিনি,গিরগিটি ,গিরগিডি,গিরগিটি,Lizard
586,গেইয়্যি,গেছে,গ্যাছে,গেছে,Has gone
587,ঘেডি,গরধনা,ঘ্যাডি,ঘাড়,Neck
588,টোঁডা,গলা,গলা,গলা,Throat
589,গাস,গাছ,গাছ,গাছ,Tree
590,মুর,গভীর,গভীর,গভীর,Deep
591,গিঁও,গেছে ,গোম,গম,Wheat
592,গরম হাল,গর্ম,গরমকাল,গরমকাল,Summer
593,তোয়ন,তুকানি,বিছ্যান্না,খোঁজা,Search
594,হ়াক্কা,খালা,খালাম্মা,খালা,Aunt
595,ক়ুশি,খুশি,খুশি,খুশি,Happy
596,হাজুর,গম,খেজুর,খেজুর,Date (fruit)
597,গেইয়্যিদেহালিয়ে,গত খাইল,গেছেকাইল,গতকাল,Yesterday
598,বাশ,খেজুর ,গোন্ধ,গন্ধ,Smell
599,উয়াইশ্যা,ভুকা,ক্ষুধার্ত,ক্ষুধার্ত,Hungry
600,হেঁইল,গন্দ,কোমর,কোমর,Waist
601,আঁজাআঁজি,খমর,কোলাকুলি,কোলাকুলি,Embrace
602,অরান,হেরান,ক্লান্ত,ক্লান্ত,Tired
603,মাদান,আইঞ্জা-আইঞ্জি,ক্ষণ,ক্ষণ,Moment
604,ভুক,ফেটোবুক,খিদা,ক্ষুধা,Hunger
605,সঁই,পালং,চহি,খাট,Bed
606,হোঁয়া,সময় ,কুয়াশা,কুয়াশা,Fog
607,বলি,কুয়া,কুস্তিগির,কুস্তিগির,Wrestler
608,হনিক্কা,কেউ,কেহো,কেউ,Someone
609,বইয়ুন,বউক্কা,বয়েন,বসেন,Sit
610,বইয়ু,বও ,ব,বসো,Sit down
611,তজিয়া,মেনত,কষ্ট,কষ্ট,Pain
612,কিঁয়ারা,খেখরা,কারহ্যা,কাঁকড়া,Crab
613,বন্নাই,গিবত,বদনাম,বদনাম,Bad reputation
614,লইব্য,রামাই,বড়ডি,বরবটি,Bean
615,বয়,বও,ব,বস,Sit
616,বইডাত,বাসাত,বওয়ায়,বসায়,Sit down
617,যে হানা,বহুত,ভেমালা,অনেক,Many
618,হায় ,খায় ,খাওয়ায়,খায় ,Eats
619,বয়,মত,ব,বস,Sit
620,বঁইশ,ভইস,মইষ,মহিষ,Buffalo
621,ফান,আজাব**,মোতো,মত,Like
622,ফানলার,লামাত,মোনেহয়,মনেহয়,Seems
623,মাইল্লেফিরা,মেরুদণ্ড ,মহামারী,মহামারী,Epidemic
624,মাহোর,মাকড়,মাকড়োষা,মাকড়সা,Spider
625,মাগ়,মাঘ,মাঘ,মাঘ,Magh (month)
626,মেডি,মাটি,মাডি,মাটি,Soil
627,হোমা,ফাখা,মুক,মুখ,Mouth
628,উরুম,মুড়ি,মুড়ি,মুড়ি,Puffed rice
629,কুরা,মুরগী,মুরা,মুরগী,Chicken
630,তরস,সাজা,খাডাল,মেঝে,Floor
631,কিচ্চি,করছি,হরলাম,করলাম,Did
632,দারাইন্না,লুব**,মেরুদণ্ড,মেরুদণ্ড,Spine
633,গরবা,কুটুম,মেহোমান,মেহমান,Guest
634,তজিয়া,ফতিজ্ঞা ,ব্যতা,যন্ত্রণা,Pain
635,ডিল্লা,রকম,রহম,রকম,Kind
636,লউ,রক্ত,রক্ত ,রক্ত,Blood
637,ডাইন,রাইক্ষস,রাক্ষস ,রাক্ষস,Demon
638,রাঁদা,রানরা,রানদা,রান্না,Cooking
639,দারগো,ছেলি,দাউর,লাকড়ি,Firewood
640,ল্যাঞ্জা,টাউনি,ল্যাজ,লেজ,Tail
641,লালুস,শিশির ,লোভ,লোভ,Greed
642,দঅরো,শক্ত,শক্ত,শক্ত,Strong
643,বল,শক্তি,বল,শক্তি,Power
644,ওয়াদা, হুকনা,শপোত,শপথ,Oath
645,লফযো,শব্দ,শব্দ,শব্দ,Sound
646,ওঅর,হৌর,হউর,শশুর,Father-in-law
647,শোর্গো,ডেখা,শহৈড়রা,শহুরে,Urban
648,বাত্তোমনা,শালিক,হালিক,শালিক,Mynah bird
649,ওঅরি,হরি,হাউরি,শাশুড়ী,Mother-in-law
650,হোঁয়ারফানি,শিশির ,নিশি্র,শিশির,Dew
651,শিতহাল,ঠাণ্ডাকাল,শীতকাল,শীতকাল,Winter
652,ফুয়ানা, হুকনা,হুগনা,শুকনা,Dry
653,উদো,খালি,হুদা,শুধু,Only
654,বিরিশ,ডেখা,হার,ষাড়,Bull
655,বিয়াক,শব,ভেবাগ,সব,All
656,এগযা,হখল সময়,হগলসময়,সবসময়,Always
657,দইজ্জা,সমুদ্র,সাগর,সমুদ্র,Sea
658,সরফ,চরবি,চর্বি ,চর্বি,Fat
659,দইজ্জা,সমুদ্র,সাগর,সাগর,Ocean
660,শাত,হাত,সাত,সাত,Seven
661,মুনতু,সামনে,সাম্মে,সামনে,Front
662,ইযন,সিদ্দ,হেদ্ধ,সিদ্ধ,Boiled
663,সিন্নে,চরবি,চর্বি,চর্বি,Fat
664,হোশবু,সুগন্ধ,ঘ্রান,সুগন্ধ,Fragrance
665,ফোয়াইদ্দা,মজা,মজা,সুস্বাদু,Delicious
666,বেইল,সুরুজ,সূর্য,সূর্য,Sun
667,ইক্কা,হবায়দি,হেদিকে,সেদিকে,That way
668,শিদা,সুজা,সোজা,সোজা,Straight
669,হোয়াব,সফনো,স্বপ্ন,স্বপ্ন,Dream
670,হাইচ্চুত,স্বভাব,স্বভাব,স্বভাব,Nature
671,বাইন্না,হুনার,স্বর্ণকার,স্বর্ণকার,Goldsmith
672,ফোয়াদ,স্বাদ,স্বাদ,স্বাদ,Taste
673,আফোয়াইদ্দা,খম মাতরা,অসুস্বাদু,অসুস্বাদু,Tasteless
674,আশি,হাসি,হাসি,হাসি,Smile
675,আতিক্কা,আখতা,হঠাৎ,হঠাৎ,Suddenly
676,হতল,জানে মারা,হত্যা,হত্যা,Murder
677,ন৴ইবু,ন অইব ,হইবেনা,হবেনা,Will not
678,আঁডু,আটু ,হাডু,হাঁটু,Knee
679,আযন,আরাইচইন,আরাইচইন,হারানো,Lost
680,বাআর,বাইর,বাইর,বাহির,Outside
681,ওয়া,আসসালামু ওয়ালাইকুম ,হে,হে,Hey
682,ওয়াদা,ফতিজ্ঞা,শপথ,শপথ,Oath
683,এগানা,কুটুম ,আত্মীয়,আত্মীয়,Relative
684,আলমিরা,আলমারি,আলমারি,আলমারি,Wardrobe
685,ফাতাইজ্জা,ফাতারে,আড়াআড়ি,আড়াআড়ি,Across
686,আশ্ট,আট,আট,আট,Eight
687,মনগুইজ্জে,সারথফর,আত্মকেন্দ্রিক,আত্মকেন্দ্রিক,Self-centered
688,হাসারা,বাদা,আবর্জনা,আবর্জনা,Garbage
689,আ৴ইর,আইরাম,আইছি,আসছি,Coming
690,আইয়্যির,আইর,আইছে,আসছে,Coming
691,উন্দুর,উন্দুর,ইন্দুর ,ইঁদুর,Mouse
692,হোঁয়াইশ,ইচ্ছা,ইচ্ছা ,ইচ্ছা,Desire
693,হোঁয়াইশ বল,ইচ্ছা শক্তি,ইচ্ছা শক্তি ,ইচ্ছা শক্তি,Willpower
694,রিশ,ইংসা,ঈর্ষা,ঈর্ষা,Jealousy
695,তেঁই,তাইন,উনি,উনি,He
696,এহন,এলকু ,এহন,এখন,Now
697,অ়ঞ্জক,জিনিসপত্র *,উপাদান,উপাদান,Ingredient
698,হয্যো,খরজো,দেনা,ঋণ,Loan
699,ইত্তিরি,অখন,এহনি,এক্ষুনি,Right now
700,এদুউন,অততা,এতোগুলা,এতগুলো,So many
701,এদ্দুর,ওতখান,এতোটুহু,এতটুকু,This much
702,ইক্কা,ওবায়দি,এদিকে,এদিকে,This way
703,এদ্দে,এবং,এবং,এবং,And
704,এনে,এমনেউ,এম্মে,এমনি,Like this
705,আইশ্যে,আইছে,আইছে,এসেছে,Has come
706,এন্ডে,ওনো,অহানে,ওখানে,There
707,এন্ডে,ওনো,অহানে,ওখানে,There
708,হইতর,কবুতর,কবুতর,কবুতর,Pigeon
709,মাইয়া,ফুড়ি,মাইয়া,মেয়ে,Girl
710,সবক,কবিতা,কবিতা,কবিতা,Poem
711,ওয়া,এরে,ওই,ওহে,Hey
712,ইক্কে,ওবায়দি,ওম্মে,ওদিকে,That way
713,হদ্দুর,খতখান,কতটুহু,কতটুকু,How much
714,হোয়াল,খফাল,কপাল,কপাল,Forehead
715,হাঁডা,কাঁটা,কাডা,কাঁটা,Thorn
716,হাউও,কাউ্উয়া,কাউয়া,কাক,Crow
717,হ৴জ,খাগজ,কাগজ,কাগজ,Paper
718,ফুসর গরন,জিকানি,প্রশ্ন হরা, প্রশ্ন করা,Ask question
719,সঁঅরি · সঁ৴রি,চাকরী,চাকরী,চাকরী,Job
720,সোলা,খটা,কাঠবিড়ালি,কাঠবিড়ালি,Squirrel
721,হঁঅর,খামড়,কামড়,কামড়,Bite
722,হন,কিগু,কে,কে,Who
723,জুনি,জুনাকি,জোনাকি,জোনাকি,Firefly
724,আঁজাআঁজি,আইঞ্জা আইঞ্জি,কোলাকুলি,কোলাকুলি,Embrace
725, ৱারম্বত্তি, প্রাপ্তবয়স্ক, প্রাপ্তবয়স্ক, প্রাপ্তবয়স্ক,Adult
726,বেসরবা, অতিরিক্ত, অতিরিক্ত, অতিরিক্ত,Excess
727,কিল্লাই,খেনে,ক্যা,কেন ,Why
728,কিল্লাই,খেনে,ক্যা,কেনো,Why
729,হনিক্কা,কেউ,কেও,কেউ,Someone
730,তোয়ন,তুকানি,খোঁজা,খোঁজা,Search
731,ভুক,ফেটোবুক,ক্ষিদা,ক্ষুধা,Hunger
732,গরম হাল,গরমকাল ,গরমকাল,গরমকাল ,Summer
733,উয়াইশ্যা,ভুকা,ক্ষুধার্ত,ক্ষুধার্ত,Hungry
734,তসনা,গীবত,গীবত,গীবত,Gossip
735,সাইরগো,চারটা,চাইরডা,চারটা,Four o'clock
736,সইল,চাউল,চাউল,চাল,Rice
737,সিয়া,উন্দুর,চিহা,চিকা,Gecko
738,গেইয়্যি,গেছে,গেছে,গেছে,Has gone
739,সানফ৴র,জুস্না,জ্যোৎস্না,জ্যোৎস্না,Moonlight
740,তুয়ান,তুফান,বইন্না,ঝড়,Storm
741,কেরফেট,ঝামেলা,ঝামেলা,ঝামেলা,Trouble
742,সইত,ছৈত,চৈত্তির,চৈত্র,Chaitra (month)
743,তুইয়া-মুইয়া,ছোটো মত,ছোটখাটো,ছোটখাটো,Petite
744,ফোয়াক্কাই,বাইচ্চামি,পোলা,ছেলেমানুষী,Childishness
745,মেসা,টেবিল,টেবিল,টেবিল,Table
746,ডুফ,ডুফ,ডুফ,ডুব,Dive
747,সালন,তরকারি,তরকারি,তরকারি,Curry
748,ইতারার,তারারে,তাগো,তাদের,Their
749,টঁঅশা,তামশা,তামশা,তামাশা,Joke
750,বা৴দে,এর্বাদে,হেইয়ার পর,তারপর,Then
751,তিন্নো,তিনটা,তিনডা,তিনটা,Three o'clock
752,তিরাশ,পিয়াস,তৃহা,তৃষ্ণা,Thirst
753,তেতই,তেঁতুল,তিতইল,তেঁতুল,Tamarind
754,তেইল্লাসুরা,তেল ছোঁড়া ,তেলাচোরা,তেলাপোকা,Cockroach
755,তাইক্কুম,থাকবো,থাকমু,থাকবো,Will stay
756,দঅ,দিলাও,দে,দাও,Give
757,থিয়্যা,উবা,খারা,দাঁড়া,Wait
758,থ্যিও,উবাও,খারাও,দাঁড়াও,Wait (formal)
759,থিয়্যন,উবানি,খারান,দাঁড়ান,Stand
760,থিয়্যন,উবানি,খারানো,দাঁড়ানো,Standing
761,দিয়্যুম,দিমু,দিমু,দিবো,Will give
762,নইদ্যুম,দিমু না,দিমুনা,দিবোনা,Won't give
763,সলই,দিয়াশলাই,গেশলাইট,দিয়াশলাই,Matchstick
764,দু৴ইজ্জা,মাদান,দুহার,দুপুর,Noon
765,দু৴ইর্গা,দুপুর,দুহার,দুপুর,Noon
766,যারগো,খবিছ,দুষ্ট,দুষ্ট,Naughty
767,নামাত,নিচে,নিছে,নিচে,Below
768,দোন্দশা,দ্বিধা,দ্বিধা,দ্বিধা,Doubt
769,বন্নাই,গীবত,গীবত,নিন্দা,Slander
770,লাশারা,বেহায়া,বেহায়া,নির্লজ্,Shameless
771,ফন্না,লেখা ফড়া,পড়ালেহা,পড়ালেখা,Study
772,ব~টা,পতাকা,পতাকা,পতাকা,Flag
773,ফা৴না,পাহা,পাহা,পাঁকা,Ripe
774,ফাঁচ্চো,পাঁচটা,পাঁচডা,পাঁচটা,Five o'clock
775,বযা,এনডা,আন্ডা,ডিম,Egg
776,ফইক,পাখি,পাখি,পাখি,Bird
777,ধাইয়্যি,পালিয়েছে,পলাইছে,পালিয়েছে,Has fled
778,ফাইজ্জুম,পারবো,পারমু,পারবো,Will be able
779,বিরবিজ্জা,পিছলা,পিছলা,পিছলা,Slipped
780,তিরাশ,পিপাসা,পিপাসা,পিপাসা,Thirst
781,ফঅইর,পালক,পালক,পালক,Feather
782,হইয়্যা,পেপে,কোম্বা,পেপে,Papaya
783,ড়াডঅ,পুরু,চেব্ডা,পুরু,Thick
784,মরদফুয়া,বেটা,ব্যাডা,পুরুষ,Male
785,বদলা,প্রতিশোধ,প্রতিশোধ,প্রতিশোধ,Revenge
786,আদইজ্জা,প্রিয়,প্রিয়,প্রিয়,Dear
787,ফইর,হকির ,ফহির,ফকির,Beggar
788,বাইক্কা,ফালতু,ফালতু,ফালতু,Useless
789,দেচ্চো,ফিঙ্গে,ফিঙ্গে,ফিঙ্গে,Drongo
790,বন্নাই,গিবত,গিবত,বদনাম,Bad reputation
791,ট়াডার,ঠাডা,ঠ্যাডা,বজ্রপাত,Thunderstorm
792,ডঁ৴র,বড়,বড়ো,বড়,Big
793,ওঁয়াইজ্জা,বন্ধু,বন্ধু,বন্ধু,Friend
794,ড়ল,বন্যা,বইন্না,বন্যা,Flood
795,লইব্য,রামাই,বরবটি,বরবটি,Bean
796,বা৴রকুলে,বাইরে,বাইরে,বাইরে,Outside
797,গিরস্ত,বাড়িআলা,বাড়িআলা,বাড়িওয়ালা,Landlord
798,বয়ার,বাতাস,বাসাত ,বাতাস,Air
799,বাইয়ুন,বাঙ্গইন,বেগুন,বেগুন,Eggplant
800,মদস্টিক,বিয়াক্কল,বলদ,বোকা,Fool
801,ব্যবআর,আচরণ,ব্যবহার,ব্যবহার,Behavior
802,ডর,ডর,ডর,ভয়,Fear
803,ৱাদঅ,ভাদো,ভাদ্দর,ভাদ্র,Bhadra (month)
804,বিঁডা,ভিডা,ভিডা,ভিটা,Homestead
805,ডরাল্লো,ডরালোক,ডওররা,ভীতু,Coward
806,গয়ম,শফরি,পেয়ারা,পেয়ারা,Guava
807,কুইশ্যল,আখ,আউখ,আখ,Sugarcane
808,গাগগুলা,গাব,গাব,গাব,Persimmon
809,কেলা,খলা ,ক্যালা,কলা,Banana
810,ডানডা,লাডি,লাডি,লাঠি,Stick
811,মিজি,মাঝে,মাঝে,মধ্যে ,Among
812,গম,ভালা,ভালো,ভালো,Good
813,যিবে,যে,যে,যে,That
814,বিসৈন ,হাতপাহা,হাতপাহা,হাতপাখা,Hand fan
815,অনরগনে ,হুদা,হুদা,অহেতুক,Unnecessary
816,অক্তর মোওতায্,গরীব,দারিদ্র্য ,দরিদ্র,Poor
817,আঁইডা ,এঁটো,আইষ্টা,এঁটো,Leftover
818,আলসিয়া,কুরিয়া,আলিস্যা,আলসে,Lazy
819,আনুনা ,লবণহীন,লবনছারা,লবণহীন,Saltless
820,হলহইল্যা ,ফাহা,ফাহা,ফাঁকা ,Empty
821,সুইনদা-বুইনদা ,এলোমেলো,আউলা ঝাউলা,এলোমেলো,Messy
822,অউল - ফউল ,এলোমেলো,আউলা ঝাউলা,এলোমেলো,Messy
823,আউন্দা ,ঝুল,ঝুল,ঝুল,Soot
824,ঝাঁডা হোয়াইল্যা ,ভাগ্যহীন,ভাগ্যহীন,ভাগ্যহীন,Unlucky
825,ঝাডা/ফুরইন,হুরইন,পিছা,ঝাড়ু,Broom
826,টাট্টি,আঘা,লেটটিন,টয়লেট,Toilet
827,তেইক্কে,টুপি,টুহি,টুপি,Cap
828,তকদির ,ভাইগ্গ ,ভাইগ্গ ,ভাগ্য,Luck
829,ঝিঁ ,কৈন্না,মাইয়া,কন্যা,Daughter
830,ফোঁয়া ,পুয়া,পোলা,পুত্র,Son
831,ফুতারা ,ফুতারা ,নাতি,দৌহিত্র,Grandchild
832,পুত,পুয়া,পোলা,পুত্র,Son
833,মিজি,মাঝে,মাঝে,মধ্যে,Among
834,গরিব ,গরিফ,গরিব ,গরিব ,Poor
835,ধনী ,ফইশেঅলা,ধনী ,ধনী ,Rich
836,থালী ,থালা,থাল,থালা,Plate
837,হোঠারা ,খট্রা ,বাডি,বাটি,Bowl
838,জেফ ,পকেট,পকেট,পকেট,Pocket
839,তোঁরা ,অল্প,কোম,অল্প,Few
840,আস্সান,আকাশ,আকাশ,আকাশ,Sky
841,লামো,নামা,নামা,নামা,Descend
842,কোয়েল,কোকিল,কুকিলা,কোকিল,Cuckoo
843,ভুতুর,ভিতর,মধ্যে ,ভিতর,Inside
844,ফিরিত ,পেরেম,পিরিত,প্রেম,Love
845,দুনিঁয়া ,দুনিয়া,পৃথিবী,পৃথিবী,World
846,ফুলহপি,ফুলকপি,ফুলকপি,ফুলকপি,Cauliflower
847,হর বায়্যুন,টমেটু,টমিটু,টমেটো,Tomato
848,খিরে,খিরা,শসা,শসা,Cucumber
849,মিডে,মিটা,মিডা,মিষ্টি,Sweet
850,বেহেশত ,জান্নাত ,জান্নাত ,জান্নাত,Heaven
851,লাইগ্যে,লাগছে,লাগাইসে,লেগেছে,Felt
852,ফেলাইলো,ফালাইসে,ফালাইসে,ফেলল,Threw
853,টিয়া,টিয়া,হালাইলো,টিয়া,Parrot
854,চরাইন্যা,চড়ানো,চড়াইসে,চড়ানো,Riding
855,রাহাল,রাখাল,রাখাল,রাখাল,Shepherd
856,ব্যবার,আচরণ,আচরণ,ব্যবহার,Usage
857,ব্যবারত,আচরনে,আচরনে,ব্যবহারে,In usage
